iso_alpha2,coverage
AF,0
AX,4
AL,4
AS,4
AD,4
AI,0
AQ,0
AR,4
AW,2
AU,4
AT,4
BD,4
BY,1
BZ,0
BE,4
BM,4
BT,4
BO,4
BQ,2
BW,4
BR,4
IO,0
BG,4
KH,4
CA,4
CL,4
CN,0
CX,4
CK,2
CC,4
CO,4
CR,1
HR,4
CW,4
CZ,4
DK,4
DO,4
TL,0
EC,4
EG,1
EE,4
SZ,4
FK,0
FO,4
FI,4
FR,4
DE,4
GH,4
GI,4
GR,4
GL,4
GT,4
HK,4
HU,4
IS,4
IN,4
ID,4
IQ,1
IE,4
IM,4
IL,4
IT,4
JP,4
JE,4
JO,4
KE,4
KR,4
KG,3
LA,3
LV,4
LB,2
LS,4
LT,4
LU,4
ML,0
MO,4
MG,3
MY,4
MV,2
MT,4
MQ,2
MX,4
MC,4
MN,3
ME,4
NP,2
NL,4
NC,0
NZ,4
NG,4
MK,4
MP,4
NO,4
PK,2
PS,1
PA,4
PH,4
PN,3
PL,4
PT,4
PR,4
QA,4
RE,4
RO,4
RU,4
RW,4
PM,2
SM,4
VC,2
SN,4
RS,4
SG,4
SK,4
SI,4
SB,0
ZA,4
GS,1
ES,4
LK,4
SJ,3
SE,4
CH,4
TW,4
TZ,2
TH,4
BS,0
TN,3
TC,0
TR,4
UG,3
UA,4
AE,4
GB,4
US,4
VI,4
UY,4
VU,1
VN,2
MU,2
AG,0
AM,3
XK,0
ZM,0
YT,1
YE,0
ZW,1
WS,2
WF,0
VG,2
VE,0
AO,0
AZ,1
BA,1
BB,2
BF,0
BH,2
BI,0
BJ,0
TT,2
TV,0
UM,0
UZ,0
VA,0
BL,0
BN,1
BV,0
CD,0
TG,0
TJ,0
TK,0
TM,0
TO,1
CF,0
CG,1
CI,0
CM,0
SX,0
SY,0
TA,0
TD,0
TF,0
CU,0
CV,0
CY,2
SO,0
SR,0
SS,0
ST,1
SV,1
DJ,0
DM,0
DZ,0
SA,1
SC,2
SD,0
SH,0
SL,0
EH,0
ER,0
ET,0
FJ,1
FM,0
GA,0
GD,1
GE,2
GF,0
GG,1
GM,0
GN,0
GP,1
GQ,0
GU,3
GW,0
GY,0
HM,0
HN,0
HT,0
IR,1
JM,1
KI,0
KM,0
KN,2
KP,0
KW,0
KY,2
KZ,0
LC,1
LI,0
LR,0
LY,0
MA,0
MD,0
MF,0
MH,0
MM,1
MR,0
MS,0
MW,0
MZ,0
NA,1
NE,0
NF,2
NI,0
NR,0
NU,1
OM,1
PE,3
PF,2
PG,1
PW,0
PY,1
